Departmant,Item,Tdate,TypeID,Qty,Cost,Rate
MARS,Sebastian 20GM CREAM,01/02/2020,2,5,15.34,16.38
MSQ,Magne B6,11/02/2020,2,2,18.35,19.8
HAIL,Panadol,31/01/2020,2,1,2.1,2.9
SHELL,Miralax,03/02/2020,2,27,19.21,20.87
ALKHUWAIR,Risperdal,01/02/2020,2,20,9.75,10.7
W/SALE,A 5 MG TAB,29/01/2020,2,14,11.28,12.18
W/SALE,Lisinopril,01/02/2020,2,12,11.07,12.06
MABELLA1,A D  25GM. CREAM,07/02/2020,2,17,16.69,18.08
SQGM,Zoloft,06/02/2020,2,4,17.49,18.93
SHELL,Visine,27/01/2020,2,18,6.63,7.56
ALKHUWAIR,Miralax,15/01/2020,2,24,19.21,20.87
NOV 18TH,Amaryl,11/01/2020,2,19,20.07,21.69
SHELL,Emend,02/02/2020,2,9,3.42,4.2
MARS,Amaryl,05/01/2020,2,12,20.07,21.69
NOV 18TH,BON CREAM 15G,19/01/2020,2,27,7.93,8.87
MARS,Visine,02/02/2020,2,22,6.63,7.56
HAIL,Amaryl,07/01/2020,2,7,20.07,21.69
NOV 18TH,AL CREAM 15GM,09/01/2020,2,8,9.13,10.26
ALKHUWAIR,BON CREAM 15G,11/02/2020,2,3,7.93,8.87
MSQ,Emend,14/02/2020,2,7,3.42,4.2
ALKHUWAIR,Amaryl,12/02/2020,2,4,20.07,21.69
MABELLA1,A 5 MG TAB,11/01/2020,2,12,11.28,12.18
SQGM,Panadol,15/01/2020,2,7,2.1,2.9
SQGM,Advil,16/02/2020,2,10,4.97,5.82
NOV 18TH,Zovirax,15/01/2020,2,26,17.74,18.97
SHELL,AM 10 MG TAB,16/02/2020,2,7,11.41,12.67
MSQ,Magne B6,12/02/2020,2,28,18.35,19.8
NOV 18TH,Miralax,07/02/2020,2,22,19.21,20.87
MABELLA1,Sebastian 20GM CREAM,18/01/2020,2,2,15.34,16.38
SHELL,BE PLUS 30G,09/02/2020,2,8,18.02,19.34
ALKHUWAIR,Magne B6,27/01/2020,2,1,18.35,19.8
ALKHUWAIR,Sebastian 20GM CREAM,07/02/2020,2,5,15.34,16.38
MABELLA1,Panadol,05/01/2020,2,22,2.1,2.9
MSQ,BON CREAM 15G,17/02/2020,2,25,7.93,8.87
HAIL,A D  25GM. CREAM,08/02/2020,2,29,16.69,18.08
NOV 18TH,AL CREAM 15GM,12/01/2020,2,27,9.13,10.26
W/SALE,Panadol,07/01/2020,2,5,2.1,2.9
ALKHUWAIR,Panadol,09/02/2020,2,12,2.1,2.9
ALKHUWAIR,Magne B6,31/01/2020,2,26,18.35,19.8
ALKHUWAIR,Advil,16/01/2020,2,16,4.97,5.82
MARS,A 5 MG TAB,09/02/2020,2,8,11.28,12.18
MABELLA1,Zoloft,25/01/2020,2,10,17.49,18.93
NOV 18TH,Sebastian 20GM CREAM,06/01/2020,2,13,15.34,16.38
MARS,A 5 MG TAB,07/02/2020,2,17,11.28,12.18
ALKHUWAIR,Zoloft,05/02/2020,2,24,17.49,18.93
ALKHUWAIR,Risperdal,21/01/2020,2,9,9.75,10.7
MSQ,A D  25GM. CREAM,02/02/2020,2,23,16.69,18.08
MARS,AM 10 MG TAB,17/02/2020,2,16,11.41,12.67
SQGM,Magne B6,31/01/2020,2,16,18.35,19.8
ALKHUWAIR,A D  25GM. CREAM,24/01/2020,2,22,16.69,18.08
SHELL,A D  25GM. CREAM,25/01/2020,2,4,16.69,18.08
W/SALE,Magne B6,02/01/2020,2,28,18.35,19.8
MSQ,NyQuill,10/01/2020,2,15,15.51,16.88
MABELLA1,Miralax,15/02/2020,2,12,19.21,20.87
HAIL,Emend,12/01/2020,2,13,3.42,4.2
W/SALE,Zoloft,10/02/2020,2,27,17.49,18.93
HAIL,Emend,30/01/2020,2,13,3.42,4.2
MARS,Visine,31/01/2020,2,12,6.63,7.56
HAIL,Visine,23/01/2020,2,12,6.63,7.56
NOV 18TH,A 5 MG TAB,11/02/2020,2,20,11.28,12.18
ALKHUWAIR,Zovirax,02/01/2020,2,1,17.74,18.97
ALKHUWAIR,Magne B6,19/01/2020,2,23,18.35,19.8
ALKHUWAIR,A D  25GM. CREAM,14/01/2020,2,17,16.69,18.08
SHELL,Emend,23/01/2020,2,25,3.42,4.2
NOV 18TH,AM 10 MG TAB,28/01/2020,2,20,11.41,12.67
NOV 18TH,Advil,04/02/2020,2,1,4.97,5.82
NOV 18TH,Sebastian 20GM CREAM,05/01/2020,2,28,15.34,16.38
SQGM,Miralax,01/02/2020,2,5,19.21,20.87
MABELLA1,Zoloft,17/01/2020,2,24,17.49,18.93
MARS,Magne B6,17/02/2020,2,14,18.35,19.8
MARS,BE PLUS 30G,18/01/2020,2,13,18.02,19.34
W/SALE,A 5 MG TAB,16/01/2020,2,10,11.28,12.18
ALKHUWAIR,Zovirax,13/01/2020,2,18,17.74,18.97
SQGM,Zovirax,16/02/2020,2,19,17.74,18.97
MABELLA1,Amaryl,02/01/2020,2,23,20.07,21.69
SQGM,AM 10 MG TAB,30/01/2020,2,10,11.41,12.67
MSQ,Magne B6,15/02/2020,2,12,18.35,19.8
W/SALE,Visine,01/02/2020,2,18,6.63,7.56
SHELL,Sebastian 20GM CREAM,08/01/2020,2,10,15.34,16.38
MARS,Magne B6,15/02/2020,2,18,18.35,19.8
W/SALE,Panadol,02/02/2020,2,17,2.1,2.9
MARS,Visine,13/02/2020,2,2,6.63,7.56
HAIL,A D  25GM. CREAM,05/01/2020,2,29,16.69,18.08
NOV 18TH,Advil,19/01/2020,2,13,4.97,5.82
ALKHUWAIR,NyQuill,12/01/2020,2,19,15.51,16.88
HAIL,Visine,05/01/2020,2,19,6.63,7.56
MSQ,Amaryl,25/01/2020,2,27,20.07,21.69
MARS,BON CREAM 15G,17/02/2020,2,29,7.93,8.87
ALKHUWAIR,Zoloft,02/02/2020,2,5,17.49,18.93
NOV 18TH,A 5 MG TAB,06/02/2020,2,2,11.28,12.18
NOV 18TH,Risperdal,15/02/2020,2,14,9.75,10.7
SQGM,AL CREAM 15GM,31/01/2020,2,3,9.13,10.26
SQGM,Panadol,02/02/2020,2,9,2.1,2.9
HAIL,Visine,11/01/2020,2,13,6.63,7.56
SQGM,Zoloft,24/01/2020,2,8,17.49,18.93
MSQ,Zovirax,04/01/2020,2,27,17.74,18.97
MABELLA1,Zovirax,30/01/2020,2,10,17.74,18.97
NOV 18TH,BON CREAM 15G,30/01/2020,1,7,7.93,8.87
HAIL,AL CREAM 15GM,01/02/2020,1,23,9.13,10.26
ALKHUWAIR,Panadol,10/02/2020,1,24,2.1,2.9
HAIL,Miralax,08/02/2020,1,12,19.21,20.87
W/SALE,Amaryl,14/02/2020,1,28,20.07,21.69
ALKHUWAIR,Zoloft,24/01/2020,1,8,17.49,18.93
W/SALE,BON CREAM 15G,11/01/2020,1,14,7.93,8.87
SQGM,AL CREAM 15GM,03/01/2020,1,14,9.13,10.26
MSQ,Advil,13/02/2020,1,3,4.97,5.82
MSQ,Lisinopril,16/02/2020,1,9,11.07,12.06
ALKHUWAIR,Miralax,12/01/2020,1,14,19.21,20.87
SHELL,AM 10 MG TAB,11/02/2020,1,1,11.41,12.67
MABELLA1,Panadol,14/02/2020,1,7,2.1,2.9
SQGM,Miralax,22/01/2020,1,8,19.21,20.87
ALKHUWAIR,Visine,13/01/2020,1,25,6.63,7.56
MABELLA1,Amaryl,13/01/2020,1,13,20.07,21.69
SHELL,A D  25GM. CREAM,12/01/2020,1,6,16.69,18.08
MARS,BE PLUS 30G,10/01/2020,1,11,18.02,19.34
NOV 18TH,BON CREAM 15G,05/02/2020,1,7,7.93,8.87
HAIL,BON CREAM 15G,20/01/2020,1,5,7.93,8.87
MSQ,AL CREAM 15GM,04/01/2020,1,9,9.13,10.26
W/SALE,AM 10 MG TAB,15/01/2020,1,1,11.41,12.67
NOV 18TH,Sebastian 20GM CREAM,24/01/2020,1,21,15.34,16.38
MARS,Magne B6,12/01/2020,1,3,18.35,19.8
HAIL,Lisinopril,16/01/2020,1,10,11.07,12.06
NOV 18TH,AM 10 MG TAB,13/01/2020,1,20,11.41,12.67
MARS,Zovirax,05/02/2020,1,26,17.74,18.97
MSQ,Visine,25/01/2020,1,7,6.63,7.56
MSQ,Zoloft,15/02/2020,1,9,17.49,18.93
HAIL,AL CREAM 15GM,05/01/2020,1,5,9.13,10.26
MSQ,AM 10 MG TAB,17/01/2020,1,12,11.41,12.67
HAIL,A D  25GM. CREAM,22/01/2020,1,8,16.69,18.08
NOV 18TH,BON CREAM 15G,08/02/2020,1,28,7.93,8.87
MSQ,A D  25GM. CREAM,01/01/2020,1,22,16.69,18.08
SHELL,NyQuill,07/01/2020,1,17,15.51,16.88
W/SALE,Miralax,07/02/2020,1,13,19.21,20.87
MABELLA1,Lisinopril,07/02/2020,1,9,11.07,12.06
MABELLA1,Lisinopril,28/01/2020,1,23,11.07,12.06
SQGM,Miralax,10/01/2020,1,21,19.21,20.87
ALKHUWAIR,Lisinopril,15/02/2020,1,21,11.07,12.06
SHELL,Miralax,28/01/2020,1,15,19.21,20.87
ALKHUWAIR,Visine,03/02/2020,1,11,6.63,7.56
MABELLA1,A 5 MG TAB,14/01/2020,1,2,11.28,12.18
MABELLA1,Zoloft,22/01/2020,1,15,17.49,18.93
SQGM,A 5 MG TAB,27/01/2020,1,16,11.28,12.18
W/SALE,Emend,13/01/2020,1,11,3.42,4.2
MSQ,Magne B6,20/01/2020,1,16,18.35,19.8
MARS,A 5 MG TAB,11/01/2020,1,12,11.28,12.18
MARS,Zovirax,12/02/2020,1,2,17.74,18.97
NOV 18TH,Visine,05/02/2020,1,19,6.63,7.56
ALKHUWAIR,Advil,07/02/2020,1,15,4.97,5.82
ALKHUWAIR,Visine,11/01/2020,1,17,6.63,7.56
ALKHUWAIR,AM 10 MG TAB,11/02/2020,1,4,11.41,12.67
SQGM,AM 10 MG TAB,09/02/2020,1,20,11.41,12.67
MARS,Visine,27/01/2020,1,10,6.63,7.56
ALKHUWAIR,A 5 MG TAB,11/02/2020,1,2,11.28,12.18
MSQ,Zovirax,13/01/2020,1,6,17.74,18.97
MABELLA1,Visine,08/02/2020,1,5,6.63,7.56
ALKHUWAIR,AL CREAM 15GM,27/01/2020,1,21,9.13,10.26
ALKHUWAIR,Zovirax,14/01/2020,1,27,17.74,18.97
MARS,Sebastian 20GM CREAM,21/01/2020,1,14,15.34,16.38
W/SALE,A 5 MG TAB,01/01/2020,1,27,11.28,12.18
MARS,AM 10 MG TAB,05/01/2020,1,1,11.41,12.67
SHELL,BE PLUS 30G,08/02/2020,1,3,18.02,19.34
MARS,Emend,28/01/2020,1,27,3.42,4.2
W/SALE,Zoloft,04/02/2020,1,1,17.49,18.93
NOV 18TH,Sebastian 20GM CREAM,30/01/2020,1,3,15.34,16.38
SQGM,A D  25GM. CREAM,09/02/2020,1,19,16.69,18.08
MABELLA1,Lisinopril,11/02/2020,1,14,11.07,12.06
SQGM,Advil,14/01/2020,1,24,4.97,5.82
HAIL,Advil,18/01/2020,1,10,4.97,5.82
MARS,A D  25GM. CREAM,26/01/2020,1,27,16.69,18.08
HAIL,NyQuill,27/01/2020,1,15,15.51,16.88
SHELL,Emend,11/02/2020,1,20,3.42,4.2
MABELLA1,Miralax,17/01/2020,1,13,19.21,20.87
MARS,Advil,09/01/2020,1,20,4.97,5.82
SHELL,Lisinopril,05/02/2020,1,7,11.07,12.06
SHELL,Advil,06/01/2020,1,2,4.97,5.82
NOV 18TH,Panadol,21/01/2020,1,4,2.1,2.9
SHELL,Advil,12/01/2020,1,11,4.97,5.82
SHELL,A 5 MG TAB,13/02/2020,1,27,11.28,12.18
HAIL,AL CREAM 15GM,09/02/2020,1,5,9.13,10.26
W/SALE,BON CREAM 15G,03/02/2020,1,9,7.93,8.87
ALKHUWAIR,Magne B6,07/02/2020,1,11,18.35,19.8
SHELL,NyQuill,26/01/2020,1,16,15.51,16.88
MABELLA1,Miralax,11/01/2020,1,1,19.21,20.87
NOV 18TH,A 5 MG TAB,07/01/2020,1,8,11.28,12.18
MSQ,Amaryl,06/01/2020,1,22,20.07,21.69
MABELLA1,Miralax,01/02/2020,1,20,19.21,20.87
NOV 18TH,Zoloft,05/02/2020,1,14,17.49,18.93
HAIL,Miralax,19/01/2020,1,8,19.21,20.87
ALKHUWAIR,Risperdal,12/01/2020,1,10,9.75,10.7
MABELLA1,Advil,10/01/2020,1,9,4.97,5.82
NOV 18TH,Visine,12/02/2020,1,5,6.63,7.56
MABELLA1,A 5 MG TAB,10/02/2020,1,25,11.28,12.18
SHELL,Zoloft,01/02/2020,1,20,17.49,18.93
MABELLA1,Emend,31/01/2020,1,12,3.42,4.2
ALKHUWAIR,AM 10 MG TAB,30/01/2020,1,18,11.41,12.67
MABELLA1,NyQuill,11/02/2020,1,19,15.51,16.88
W/SALE,A 5 MG TAB,28/01/2020,1,18,11.28,12.18
SQGM,Zovirax,17/02/2020,2,15,17.74,18.97
SQGM,Amaryl,05/02/2020,2,9,20.07,21.69
SQGM,Emend,25/01/2020,2,21,3.42,4.2
HAIL,Panadol,11/01/2020,2,14,2.1,2.9
SQGM,Lisinopril,07/02/2020,2,20,11.07,12.06
HAIL,Emend,17/01/2020,2,21,3.42,4.2
SHELL,Emend,03/01/2020,2,3,3.42,4.2
NOV 18TH,AM 10 MG TAB,16/02/2020,2,3,11.41,12.67
SQGM,A D  25GM. CREAM,24/01/2020,2,8,16.69,18.08
NOV 18TH,AL CREAM 15GM,11/02/2020,2,26,9.13,10.26
ALKHUWAIR,Panadol,11/02/2020,2,6,2.1,2.9
MABELLA1,Magne B6,01/02/2020,2,19,18.35,19.8
SQGM,AL CREAM 15GM,04/01/2020,2,16,9.13,10.26
NOV 18TH,A D  25GM. CREAM,23/01/2020,2,29,16.69,18.08
MABELLA1,AM 10 MG TAB,20/01/2020,2,20,11.41,12.67
ALKHUWAIR,AM 10 MG TAB,07/01/2020,2,3,11.41,12.67
SQGM,Miralax,02/01/2020,2,19,19.21,20.87
SHELL,Lisinopril,14/01/2020,2,19,11.07,12.06
MSQ,A 5 MG TAB,14/01/2020,2,20,11.28,12.18
SQGM,Sebastian 20GM CREAM,04/02/2020,2,11,15.34,16.38
HAIL,Zovirax,09/02/2020,2,12,17.74,18.97
NOV 18TH,Magne B6,29/01/2020,2,29,18.35,19.8
SHELL,NyQuill,17/02/2020,2,27,15.51,16.88
W/SALE,A D  25GM. CREAM,06/02/2020,2,8,16.69,18.08
MABELLA1,Miralax,25/01/2020,2,5,19.21,20.87
SHELL,Zovirax,16/01/2020,2,11,17.74,18.97
SHELL,Panadol,03/02/2020,2,18,2.1,2.9
MARS,Miralax,04/01/2020,2,10,19.21,20.87
MSQ,Visine,03/01/2020,2,23,6.63,7.56
MSQ,Emend,06/01/2020,2,22,3.42,4.2
MARS,BON CREAM 15G,15/01/2020,2,9,7.93,8.87
MSQ,Advil,07/01/2020,2,22,4.97,5.82
ALKHUWAIR,AM 10 MG TAB,31/01/2020,2,21,11.41,12.67
SQGM,Panadol,31/01/2020,2,17,2.1,2.9
HAIL,Zovirax,29/01/2020,2,18,17.74,18.97
NOV 18TH,AM 10 MG TAB,01/02/2020,2,21,11.41,12.67
MABELLA1,Visine,07/02/2020,2,19,6.63,7.56
MARS,Advil,15/01/2020,2,18,4.97,5.82
ALKHUWAIR,Emend,07/02/2020,2,3,3.42,4.2
NOV 18TH,Amaryl,25/01/2020,2,25,20.07,21.69
MARS,Advil,31/01/2020,2,5,4.97,5.82
MARS,A 5 MG TAB,23/01/2020,2,9,11.28,12.18
MABELLA1,Advil,06/02/2020,2,5,4.97,5.82
SHELL,AM 10 MG TAB,17/02/2020,2,26,11.41,12.67
W/SALE,BON CREAM 15G,02/02/2020,2,23,7.93,8.87
W/SALE,Panadol,02/01/2020,2,14,2.1,2.9
HAIL,Emend,14/01/2020,2,15,3.42,4.2
MARS,A D  25GM. CREAM,09/02/2020,2,2,16.69,18.08
W/SALE,Risperdal,28/01/2020,2,12,9.75,10.7
SQGM,Advil,16/02/2020,2,9,4.97,5.82
MABELLA1,AL CREAM 15GM,10/02/2020,1,20,9.13,10.26
MABELLA1,Sebastian 20GM CREAM,30/01/2020,1,7,15.34,16.38
HAIL,BON CREAM 15G,10/01/2020,1,23,7.93,8.87
MSQ,AL CREAM 15GM,09/02/2020,1,23,9.13,10.26
ALKHUWAIR,Advil,12/02/2020,1,14,4.97,5.82
MARS,Zoloft,17/01/2020,1,13,17.49,18.93
HAIL,Risperdal,17/02/2020,1,24,9.75,10.7
W/SALE,BON CREAM 15G,02/01/2020,1,23,7.93,8.87
MARS,Miralax,08/02/2020,1,19,19.21,20.87
HAIL,Zoloft,05/01/2020,1,7,17.49,18.93
SHELL,Zoloft,16/02/2020,1,21,17.49,18.93
MSQ,BON CREAM 15G,06/01/2020,1,24,7.93,8.87
ALKHUWAIR,AL CREAM 15GM,07/02/2020,1,11,9.13,10.26
SQGM,Emend,21/01/2020,1,20,3.42,4.2
ALKHUWAIR,Emend,19/01/2020,1,10,3.42,4.2
NOV 18TH,Zoloft,25/01/2020,1,18,17.49,18.93
SQGM,A D  25GM. CREAM,29/01/2020,1,1,16.69,18.08
NOV 18TH,Zovirax,07/02/2020,1,14,17.74,18.97
SQGM,Amaryl,29/01/2020,1,10,20.07,21.69
MARS,Risperdal,10/02/2020,1,2,9.75,10.7
NOV 18TH,Advil,13/02/2020,1,28,4.97,5.82
W/SALE,A D  25GM. CREAM,30/01/2020,1,7,16.69,18.08
MABELLA1,Magne B6,11/01/2020,1,9,18.35,19.8
MABELLA1,NyQuill,07/01/2020,1,6,15.51,16.88
HAIL,Lisinopril,04/02/2020,1,10,11.07,12.06
SQGM,Risperdal,22/01/2020,1,23,9.75,10.7
HAIL,Zoloft,13/01/2020,1,4,17.49,18.93
SQGM,Miralax,14/01/2020,1,29,19.21,20.87
HAIL,Zoloft,25/01/2020,1,11,17.49,18.93
W/SALE,Miralax,08/02/2020,1,5,19.21,20.87
SQGM,Visine,15/01/2020,1,11,6.63,7.56
MARS,BE PLUS 30G,28/01/2020,1,27,18.02,19.34
MSQ,Advil,18/01/2020,1,27,4.97,5.82
MARS,Panadol,01/02/2020,1,5,2.1,2.9
MARS,BE PLUS 30G,17/01/2020,1,26,18.02,19.34
NOV 18TH,Amaryl,13/01/2020,1,6,20.07,21.69
SHELL,Sebastian 20GM CREAM,31/01/2020,1,19,15.34,16.38
MSQ,Visine,13/02/2020,1,21,6.63,7.56
W/SALE,BON CREAM 15G,28/01/2020,1,19,7.93,8.87
MABELLA1,BE PLUS 30G,03/02/2020,1,19,18.02,19.34
MSQ,BE PLUS 30G,06/02/2020,1,20,18.02,19.34
MARS,Miralax,17/02/2020,1,9,19.21,20.87
MABELLA1,Panadol,27/01/2020,1,26,2.1,2.9
W/SALE,Panadol,08/02/2020,1,12,2.1,2.9
SHELL,AM 10 MG TAB,31/01/2020,1,27,11.41,12.67
ALKHUWAIR,Visine,23/01/2020,1,1,6.63,7.56
SHELL,BE PLUS 30G,08/02/2020,1,12,18.02,19.34
MARS,A 5 MG TAB,13/02/2020,1,11,11.28,12.18
NOV 18TH,Miralax,30/01/2020,1,21,19.21,20.87
W/SALE,Advil,01/01/2020,1,20,4.97,5.82
MSQ,Magne B6,01/01/2020,1,15,18.35,19.8
MABELLA1,Visine,08/01/2020,1,9,6.63,7.56
ALKHUWAIR,Zoloft,31/01/2020,1,6,17.49,18.93
SQGM,Amaryl,12/02/2020,1,4,20.07,21.69
MARS,Zovirax,12/02/2020,1,13,17.74,18.97
MARS,Magne B6,08/02/2020,1,27,18.35,19.8
ALKHUWAIR,Emend,14/01/2020,1,23,3.42,4.2
MARS,Miralax,10/02/2020,1,18,19.21,20.87
SQGM,Amaryl,12/01/2020,1,23,20.07,21.69
HAIL,Risperdal,08/01/2020,1,13,9.75,10.7
SQGM,Amaryl,16/02/2020,1,29,20.07,21.69
MARS,Magne B6,16/02/2020,1,6,18.35,19.8
MARS,Zoloft,12/02/2020,1,25,17.49,18.93
MABELLA1,Zovirax,21/01/2020,1,5,17.74,18.97
MSQ,Zovirax,07/02/2020,1,19,17.74,18.97
MSQ,Zovirax,20/01/2020,1,17,17.74,18.97
SQGM,Advil,05/02/2020,1,28,4.97,5.82
MARS,BON CREAM 15G,08/01/2020,1,12,7.93,8.87
SHELL,Amaryl,30/01/2020,1,29,20.07,21.69
HAIL,Zoloft,20/01/2020,1,6,17.49,18.93
MSQ,Miralax,10/01/2020,1,25,19.21,20.87
MARS,AL CREAM 15GM,06/01/2020,1,6,9.13,10.26
NOV 18TH,Risperdal,05/02/2020,1,3,9.75,10.7
W/SALE,Zoloft,20/01/2020,1,6,17.49,18.93
SHELL,A 5 MG TAB,14/02/2020,1,15,11.28,12.18
HAIL,Amaryl,12/01/2020,1,10,20.07,21.69
SQGM,Visine,25/01/2020,1,26,6.63,7.56
MARS,BE PLUS 30G,04/02/2020,1,5,18.02,19.34
MABELLA1,Risperdal,30/01/2020,1,11,9.75,10.7
SQGM,Panadol,25/01/2020,1,7,2.1,2.9
SHELL,BON CREAM 15G,15/02/2020,1,19,7.93,8.87
SHELL,Zoloft,13/01/2020,1,5,17.49,18.93
