Departmant,Item,Tdate,TypeID,Qty,Cost,Rate
MARS,Sebastian 20GM CREAM,01/02/2020,2,5,1.534,1.638
MSQ,Magne B6,11/02/2020,2,2,1.835,1.98
HAIL,Panadol,31/01/2020,2,1,0.21,0.29
SHELL,Miralax,03/02/2020,2,27,1.921,2.087
ALKHUWAIR,Risperdal,01/02/2020,2,20,0.975,1.07
W/SALE,A 5 MG TAB,29/01/2020,2,14,1.128,1.218
W/SALE,Lisinopril,01/02/2020,2,12,1.107,1.206
MABELLA1,A D  25GM. CREAM,07/02/2020,2,17,1.669,1.808
SQGM,Zoloft,06/02/2020,2,4,1.749,1.893
SHELL,Visine,27/01/2020,2,18,0.663,0.756
ALKHUWAIR,Miralax,15/01/2020,2,24,1.921,2.087
NOV 18TH,Amaryl,11/01/2020,2,19,2.007,2.169
SHELL,Emend,02/02/2020,2,9,0.342,0.42
MARS,Amaryl,05/01/2020,2,12,2.007,2.169
NOV 18TH,BON CREAM 15G,19/01/2020,2,27,0.793,0.887
MARS,Visine,02/02/2020,2,22,0.663,0.756
HAIL,Amaryl,07/01/2020,2,7,2.007,2.169
NOV 18TH,AL CREAM 15GM,09/01/2020,2,8,0.913,1.026
ALKHUWAIR,BON CREAM 15G,11/02/2020,2,3,0.793,0.887
MSQ,Emend,14/02/2020,2,7,0.342,0.42
ALKHUWAIR,Amaryl,12/02/2020,2,4,2.007,2.169
MABELLA1,A 5 MG TAB,11/01/2020,2,12,1.128,1.218
SQGM,Panadol,15/01/2020,2,7,0.21,0.29
SQGM,Advil,16/02/2020,2,10,0.497,0.582
NOV 18TH,Zovirax,15/01/2020,2,26,1.774,1.897
SHELL,AM 10 MG TAB,16/02/2020,2,7,1.141,1.267
MSQ,Magne B6,12/02/2020,2,28,1.835,1.98
NOV 18TH,Miralax,07/02/2020,2,22,1.921,2.087
MABELLA1,Sebastian 20GM CREAM,18/01/2020,2,2,1.534,1.638
SHELL,BE PLUS 30G,09/02/2020,2,8,1.802,1.934
ALKHUWAIR,Magne B6,27/01/2020,2,1,1.835,1.98
ALKHUWAIR,Sebastian 20GM CREAM,07/02/2020,2,5,1.534,1.638
MABELLA1,Panadol,05/01/2020,2,22,0.21,0.29
MSQ,BON CREAM 15G,17/02/2020,2,25,0.793,0.887
HAIL,A D  25GM. CREAM,08/02/2020,2,29,1.669,1.808
NOV 18TH,AL CREAM 15GM,12/01/2020,2,27,0.913,1.026
W/SALE,Panadol,07/01/2020,2,5,0.21,0.29
ALKHUWAIR,Panadol,09/02/2020,2,12,0.21,0.29
ALKHUWAIR,Magne B6,31/01/2020,2,26,1.835,1.98
ALKHUWAIR,Advil,16/01/2020,2,16,0.497,0.582
MARS,A 5 MG TAB,09/02/2020,2,8,1.128,1.218
MABELLA1,Zoloft,25/01/2020,2,10,1.749,1.893
NOV 18TH,Sebastian 20GM CREAM,06/01/2020,2,13,1.534,1.638
MARS,A 5 MG TAB,07/02/2020,2,17,1.128,1.218
ALKHUWAIR,Zoloft,05/02/2020,2,24,1.749,1.893
ALKHUWAIR,Risperdal,21/01/2020,2,9,0.975,1.07
MSQ,A D  25GM. CREAM,02/02/2020,2,23,1.669,1.808
MARS,AM 10 MG TAB,17/02/2020,2,16,1.141,1.267
SQGM,Magne B6,31/01/2020,2,16,1.835,1.98
ALKHUWAIR,A D  25GM. CREAM,24/01/2020,2,22,1.669,1.808
SHELL,A D  25GM. CREAM,25/01/2020,2,4,1.669,1.808
W/SALE,Magne B6,02/01/2020,2,28,1.835,1.98
MSQ,NyQuill,10/01/2020,2,15,1.551,1.688
MABELLA1,Miralax,15/02/2020,2,12,1.921,2.087
HAIL,Emend,12/01/2020,2,13,0.342,0.42
W/SALE,Zoloft,10/02/2020,2,27,1.749,1.893
HAIL,Emend,30/01/2020,2,13,0.342,0.42
MARS,Visine,31/01/2020,2,12,0.663,0.756
HAIL,Visine,23/01/2020,2,12,0.663,0.756
NOV 18TH,A 5 MG TAB,11/02/2020,2,20,1.128,1.218
ALKHUWAIR,Zovirax,02/01/2020,2,1,1.774,1.897
ALKHUWAIR,Magne B6,19/01/2020,2,23,1.835,1.98
ALKHUWAIR,A D  25GM. CREAM,14/01/2020,2,17,1.669,1.808
SHELL,Emend,23/01/2020,2,25,0.342,0.42
NOV 18TH,AM 10 MG TAB,28/01/2020,2,20,1.141,1.267
NOV 18TH,Advil,04/02/2020,2,1,0.497,0.582
NOV 18TH,Sebastian 20GM CREAM,05/01/2020,2,28,1.534,1.638
SQGM,Miralax,01/02/2020,2,5,1.921,2.087
MABELLA1,Zoloft,17/01/2020,2,24,1.749,1.893
MARS,Magne B6,17/02/2020,2,14,1.835,1.98
MARS,BE PLUS 30G,18/01/2020,2,13,1.802,1.934
W/SALE,A 5 MG TAB,16/01/2020,2,10,1.128,1.218
ALKHUWAIR,Zovirax,13/01/2020,2,18,1.774,1.897
SQGM,Zovirax,16/02/2020,2,19,1.774,1.897
MABELLA1,Amaryl,02/01/2020,2,23,2.007,2.169
SQGM,AM 10 MG TAB,30/01/2020,2,10,1.141,1.267
MSQ,Magne B6,15/02/2020,2,12,1.835,1.98
W/SALE,Visine,01/02/2020,2,18,0.663,0.756
SHELL,Sebastian 20GM CREAM,08/01/2020,2,10,1.534,1.638
MARS,Magne B6,15/02/2020,2,18,1.835,1.98
W/SALE,Panadol,02/02/2020,2,17,0.21,0.29
MARS,Visine,13/02/2020,2,2,0.663,0.756
HAIL,A D  25GM. CREAM,05/01/2020,2,29,1.669,1.808
NOV 18TH,Advil,19/01/2020,2,13,0.497,0.582
ALKHUWAIR,NyQuill,12/01/2020,2,19,1.551,1.688
HAIL,Visine,05/01/2020,2,19,0.663,0.756
MSQ,Amaryl,25/01/2020,2,27,2.007,2.169
MARS,BON CREAM 15G,17/02/2020,2,29,0.793,0.887
ALKHUWAIR,Zoloft,02/02/2020,2,5,1.749,1.893
NOV 18TH,A 5 MG TAB,06/02/2020,2,2,1.128,1.218
NOV 18TH,Risperdal,15/02/2020,2,14,0.975,1.07
SQGM,AL CREAM 15GM,31/01/2020,2,3,0.913,1.026
SQGM,Panadol,02/02/2020,2,9,0.21,0.29
HAIL,Visine,11/01/2020,2,13,0.663,0.756
SQGM,Zoloft,24/01/2020,2,8,1.749,1.893
MSQ,Zovirax,04/01/2020,2,27,1.774,1.897
MABELLA1,Zovirax,30/01/2020,2,10,1.774,1.897
NOV 18TH,BON CREAM 15G,30/01/2020,1,7,0.793,0.887
HAIL,AL CREAM 15GM,01/02/2020,1,23,0.913,1.026
ALKHUWAIR,Panadol,10/02/2020,1,24,0.21,0.29
HAIL,Miralax,08/02/2020,1,12,1.921,2.087
W/SALE,Amaryl,14/02/2020,1,28,2.007,2.169
ALKHUWAIR,Zoloft,24/01/2020,1,8,1.749,1.893
W/SALE,BON CREAM 15G,11/01/2020,1,14,0.793,0.887
SQGM,AL CREAM 15GM,03/01/2020,1,14,0.913,1.026
MSQ,Advil,13/02/2020,1,3,0.497,0.582
MSQ,Lisinopril,16/02/2020,1,9,1.107,1.206
ALKHUWAIR,Miralax,12/01/2020,1,14,1.921,2.087
SHELL,AM 10 MG TAB,11/02/2020,1,1,1.141,1.267
MABELLA1,Panadol,14/02/2020,1,7,0.21,0.29
SQGM,Miralax,22/01/2020,1,8,1.921,2.087
ALKHUWAIR,Visine,13/01/2020,1,25,0.663,0.756
MABELLA1,Amaryl,13/01/2020,1,13,2.007,2.169
SHELL,A D  25GM. CREAM,12/01/2020,1,6,1.669,1.808
MARS,BE PLUS 30G,10/01/2020,1,11,1.802,1.934
NOV 18TH,BON CREAM 15G,05/02/2020,1,7,0.793,0.887
HAIL,BON CREAM 15G,20/01/2020,1,5,0.793,0.887
MSQ,AL CREAM 15GM,04/01/2020,1,9,0.913,1.026
W/SALE,AM 10 MG TAB,15/01/2020,1,1,1.141,1.267
NOV 18TH,Sebastian 20GM CREAM,24/01/2020,1,21,1.534,1.638
MARS,Magne B6,12/01/2020,1,3,1.835,1.98
HAIL,Lisinopril,16/01/2020,1,10,1.107,1.206
NOV 18TH,AM 10 MG TAB,13/01/2020,1,20,1.141,1.267
MARS,Zovirax,05/02/2020,1,26,1.774,1.897
MSQ,Visine,25/01/2020,1,7,0.663,0.756
MSQ,Zoloft,15/02/2020,1,9,1.749,1.893
HAIL,AL CREAM 15GM,05/01/2020,1,5,0.913,1.026
MSQ,AM 10 MG TAB,17/01/2020,1,12,1.141,1.267
HAIL,A D  25GM. CREAM,22/01/2020,1,8,1.669,1.808
NOV 18TH,BON CREAM 15G,08/02/2020,1,28,0.793,0.887
MSQ,A D  25GM. CREAM,01/01/2020,1,22,1.669,1.808
SHELL,NyQuill,07/01/2020,1,17,1.551,1.688
W/SALE,Miralax,07/02/2020,1,13,1.921,2.087
MABELLA1,Lisinopril,07/02/2020,1,9,1.107,1.206
MABELLA1,Lisinopril,28/01/2020,1,23,1.107,1.206
SQGM,Miralax,10/01/2020,1,21,1.921,2.087
ALKHUWAIR,Lisinopril,15/02/2020,1,21,1.107,1.206
SHELL,Miralax,28/01/2020,1,15,1.921,2.087
ALKHUWAIR,Visine,03/02/2020,1,11,0.663,0.756
MABELLA1,A 5 MG TAB,14/01/2020,1,2,1.128,1.218
MABELLA1,Zoloft,22/01/2020,1,15,1.749,1.893
SQGM,A 5 MG TAB,27/01/2020,1,16,1.128,1.218
W/SALE,Emend,13/01/2020,1,11,0.342,0.42
MSQ,Magne B6,20/01/2020,1,16,1.835,1.98
MARS,A 5 MG TAB,11/01/2020,1,12,1.128,1.218
MARS,Zovirax,12/02/2020,1,2,1.774,1.897
NOV 18TH,Visine,05/02/2020,1,19,0.663,0.756
ALKHUWAIR,Advil,07/02/2020,1,15,0.497,0.582
ALKHUWAIR,Visine,11/01/2020,1,17,0.663,0.756
ALKHUWAIR,AM 10 MG TAB,11/02/2020,1,4,1.141,1.267
SQGM,AM 10 MG TAB,09/02/2020,1,20,1.141,1.267
MARS,Visine,27/01/2020,1,10,0.663,0.756
ALKHUWAIR,A 5 MG TAB,11/02/2020,1,2,1.128,1.218
MSQ,Zovirax,13/01/2020,1,6,1.774,1.897
MABELLA1,Visine,08/02/2020,1,5,0.663,0.756
ALKHUWAIR,AL CREAM 15GM,27/01/2020,1,21,0.913,1.026
ALKHUWAIR,Zovirax,14/01/2020,1,27,1.774,1.897
MARS,Sebastian 20GM CREAM,21/01/2020,1,14,1.534,1.638
W/SALE,A 5 MG TAB,01/01/2020,1,27,1.128,1.218
MARS,AM 10 MG TAB,05/01/2020,1,1,1.141,1.267
SHELL,BE PLUS 30G,08/02/2020,1,3,1.802,1.934
MARS,Emend,28/01/2020,1,27,0.342,0.42
W/SALE,Zoloft,04/02/2020,1,1,1.749,1.893
NOV 18TH,Sebastian 20GM CREAM,30/01/2020,1,3,1.534,1.638
SQGM,A D  25GM. CREAM,09/02/2020,1,19,1.669,1.808
MABELLA1,Lisinopril,11/02/2020,1,14,1.107,1.206
SQGM,Advil,14/01/2020,1,24,0.497,0.582
HAIL,Advil,18/01/2020,1,10,0.497,0.582
MARS,A D  25GM. CREAM,26/01/2020,1,27,1.669,1.808
HAIL,NyQuill,27/01/2020,1,15,1.551,1.688
SHELL,Emend,11/02/2020,1,20,0.342,0.42
MABELLA1,Miralax,17/01/2020,1,13,1.921,2.087
MARS,Advil,09/01/2020,1,20,0.497,0.582
SHELL,Lisinopril,05/02/2020,1,7,1.107,1.206
SHELL,Advil,06/01/2020,1,2,0.497,0.582
NOV 18TH,Panadol,21/01/2020,1,4,0.21,0.29
SHELL,Advil,12/01/2020,1,11,0.497,0.582
SHELL,A 5 MG TAB,13/02/2020,1,27,1.128,1.218
HAIL,AL CREAM 15GM,09/02/2020,1,5,0.913,1.026
W/SALE,BON CREAM 15G,03/02/2020,1,9,0.793,0.887
ALKHUWAIR,Magne B6,07/02/2020,1,11,1.835,1.98
SHELL,NyQuill,26/01/2020,1,16,1.551,1.688
MABELLA1,Miralax,11/01/2020,1,1,1.921,2.087
NOV 18TH,A 5 MG TAB,07/01/2020,1,8,1.128,1.218
MSQ,Amaryl,06/01/2020,1,22,2.007,2.169
MABELLA1,Miralax,01/02/2020,1,20,1.921,2.087
NOV 18TH,Zoloft,05/02/2020,1,14,1.749,1.893
HAIL,Miralax,19/01/2020,1,8,1.921,2.087
ALKHUWAIR,Risperdal,12/01/2020,1,10,0.975,1.07
MABELLA1,Advil,10/01/2020,1,9,0.497,0.582
NOV 18TH,Visine,12/02/2020,1,5,0.663,0.756
MABELLA1,A 5 MG TAB,10/02/2020,1,25,1.128,1.218
SHELL,Zoloft,01/02/2020,1,20,1.749,1.893
MABELLA1,Emend,31/01/2020,1,12,0.342,0.42
ALKHUWAIR,AM 10 MG TAB,30/01/2020,1,18,1.141,1.267
MABELLA1,NyQuill,11/02/2020,1,19,1.551,1.688
W/SALE,A 5 MG TAB,28/01/2020,1,18,1.128,1.218
SQGM,Zovirax,17/02/2020,2,15,1.774,1.897
SQGM,Amaryl,05/02/2020,2,9,2.007,2.169
SQGM,Emend,25/01/2020,2,21,0.342,0.42
HAIL,Panadol,11/01/2020,2,14,0.21,0.29
SQGM,Lisinopril,07/02/2020,2,20,1.107,1.206
HAIL,Emend,17/01/2020,2,21,0.342,0.42
SHELL,Emend,03/01/2020,2,3,0.342,0.42
NOV 18TH,AM 10 MG TAB,16/02/2020,2,3,1.141,1.267
SQGM,A D  25GM. CREAM,24/01/2020,2,8,1.669,1.808
NOV 18TH,AL CREAM 15GM,11/02/2020,2,26,0.913,1.026
ALKHUWAIR,Panadol,11/02/2020,2,6,0.21,0.29
MABELLA1,Magne B6,01/02/2020,2,19,1.835,1.98
SQGM,AL CREAM 15GM,04/01/2020,2,16,0.913,1.026
NOV 18TH,A D  25GM. CREAM,23/01/2020,2,29,1.669,1.808
MABELLA1,AM 10 MG TAB,20/01/2020,2,20,1.141,1.267
ALKHUWAIR,AM 10 MG TAB,07/01/2020,2,3,1.141,1.267
SQGM,Miralax,02/01/2020,2,19,1.921,2.087
SHELL,Lisinopril,14/01/2020,2,19,1.107,1.206
MSQ,A 5 MG TAB,14/01/2020,2,20,1.128,1.218
SQGM,Sebastian 20GM CREAM,04/02/2020,2,11,1.534,1.638
HAIL,Zovirax,09/02/2020,2,12,1.774,1.897
NOV 18TH,Magne B6,29/01/2020,2,29,1.835,1.98
SHELL,NyQuill,17/02/2020,2,27,1.551,1.688
W/SALE,A D  25GM. CREAM,06/02/2020,2,8,1.669,1.808
MABELLA1,Miralax,25/01/2020,2,5,1.921,2.087
SHELL,Zovirax,16/01/2020,2,11,1.774,1.897
SHELL,Panadol,03/02/2020,2,18,0.21,0.29
MARS,Miralax,04/01/2020,2,10,1.921,2.087
MSQ,Visine,03/01/2020,2,23,0.663,0.756
MSQ,Emend,06/01/2020,2,22,0.342,0.42
MARS,BON CREAM 15G,15/01/2020,2,9,0.793,0.887
MSQ,Advil,07/01/2020,2,22,0.497,0.582
ALKHUWAIR,AM 10 MG TAB,31/01/2020,2,21,1.141,1.267
SQGM,Panadol,31/01/2020,2,17,0.21,0.29
HAIL,Zovirax,29/01/2020,2,18,1.774,1.897
NOV 18TH,AM 10 MG TAB,01/02/2020,2,21,1.141,1.267
MABELLA1,Visine,07/02/2020,2,19,0.663,0.756
MARS,Advil,15/01/2020,2,18,0.497,0.582
ALKHUWAIR,Emend,07/02/2020,2,3,0.342,0.42
NOV 18TH,Amaryl,25/01/2020,2,25,2.007,2.169
MARS,Advil,31/01/2020,2,5,0.497,0.582
MARS,A 5 MG TAB,23/01/2020,2,9,1.128,1.218
MABELLA1,Advil,06/02/2020,2,5,0.497,0.582
SHELL,AM 10 MG TAB,17/02/2020,2,26,1.141,1.267
W/SALE,BON CREAM 15G,02/02/2020,2,23,0.793,0.887
W/SALE,Panadol,02/01/2020,2,14,0.21,0.29
HAIL,Emend,14/01/2020,2,15,0.342,0.42
MARS,A D  25GM. CREAM,09/02/2020,2,2,1.669,1.808
W/SALE,Risperdal,28/01/2020,2,12,0.975,1.07
SQGM,Advil,16/02/2020,2,9,0.497,0.582
MABELLA1,AL CREAM 15GM,10/02/2020,1,20,0.913,1.026
MABELLA1,Sebastian 20GM CREAM,30/01/2020,1,7,1.534,1.638
HAIL,BON CREAM 15G,10/01/2020,1,23,0.793,0.887
MSQ,AL CREAM 15GM,09/02/2020,1,23,0.913,1.026
ALKHUWAIR,Advil,12/02/2020,1,14,0.497,0.582
MARS,Zoloft,17/01/2020,1,13,1.749,1.893
HAIL,Risperdal,17/02/2020,1,24,0.975,1.07
W/SALE,BON CREAM 15G,02/01/2020,1,23,0.793,0.887
MARS,Miralax,08/02/2020,1,19,1.921,2.087
HAIL,Zoloft,05/01/2020,1,7,1.749,1.893
SHELL,Zoloft,16/02/2020,1,21,1.749,1.893
MSQ,BON CREAM 15G,06/01/2020,1,24,0.793,0.887
ALKHUWAIR,AL CREAM 15GM,07/02/2020,1,11,0.913,1.026
SQGM,Emend,21/01/2020,1,20,0.342,0.42
ALKHUWAIR,Emend,19/01/2020,1,10,0.342,0.42
NOV 18TH,Zoloft,25/01/2020,1,18,1.749,1.893
SQGM,A D  25GM. CREAM,29/01/2020,1,1,1.669,1.808
NOV 18TH,Zovirax,07/02/2020,1,14,1.774,1.897
SQGM,Amaryl,29/01/2020,1,10,2.007,2.169
MARS,Risperdal,10/02/2020,1,2,0.975,1.07
NOV 18TH,Advil,13/02/2020,1,28,0.497,0.582
W/SALE,A D  25GM. CREAM,30/01/2020,1,7,1.669,1.808
MABELLA1,Magne B6,11/01/2020,1,9,1.835,1.98
MABELLA1,NyQuill,07/01/2020,1,6,1.551,1.688
HAIL,Lisinopril,04/02/2020,1,10,1.107,1.206
SQGM,Risperdal,22/01/2020,1,23,0.975,1.07
HAIL,Zoloft,13/01/2020,1,4,1.749,1.893
SQGM,Miralax,14/01/2020,1,29,1.921,2.087
HAIL,Zoloft,25/01/2020,1,11,1.749,1.893
W/SALE,Miralax,08/02/2020,1,5,1.921,2.087
SQGM,Visine,15/01/2020,1,11,0.663,0.756
MARS,BE PLUS 30G,28/01/2020,1,27,1.802,1.934
MSQ,Advil,18/01/2020,1,27,0.497,0.582
MARS,Panadol,01/02/2020,1,5,0.21,0.29
MARS,BE PLUS 30G,17/01/2020,1,26,1.802,1.934
NOV 18TH,Amaryl,13/01/2020,1,6,2.007,2.169
SHELL,Sebastian 20GM CREAM,31/01/2020,1,19,1.534,1.638
MSQ,Visine,13/02/2020,1,21,0.663,0.756
W/SALE,BON CREAM 15G,28/01/2020,1,19,0.793,0.887
MABELLA1,BE PLUS 30G,03/02/2020,1,19,1.802,1.934
MSQ,BE PLUS 30G,06/02/2020,1,20,1.802,1.934
MARS,Miralax,17/02/2020,1,9,1.921,2.087
MABELLA1,Panadol,27/01/2020,1,26,0.21,0.29
W/SALE,Panadol,08/02/2020,1,12,0.21,0.29
SHELL,AM 10 MG TAB,31/01/2020,1,27,1.141,1.267
ALKHUWAIR,Visine,23/01/2020,1,1,0.663,0.756
SHELL,BE PLUS 30G,08/02/2020,1,12,1.802,1.934
MARS,A 5 MG TAB,13/02/2020,1,11,1.128,1.218
NOV 18TH,Miralax,30/01/2020,1,21,1.921,2.087
W/SALE,Advil,01/01/2020,1,20,0.497,0.582
MSQ,Magne B6,01/01/2020,1,15,1.835,1.98
MABELLA1,Visine,08/01/2020,1,9,0.663,0.756
ALKHUWAIR,Zoloft,31/01/2020,1,6,1.749,1.893
SQGM,Amaryl,12/02/2020,1,4,2.007,2.169
MARS,Zovirax,12/02/2020,1,13,1.774,1.897
MARS,Magne B6,08/02/2020,1,27,1.835,1.98
ALKHUWAIR,Emend,14/01/2020,1,23,0.342,0.42
MARS,Miralax,10/02/2020,1,18,1.921,2.087
SQGM,Amaryl,12/01/2020,1,23,2.007,2.169
HAIL,Risperdal,08/01/2020,1,13,0.975,1.07
SQGM,Amaryl,16/02/2020,1,29,2.007,2.169
MARS,Magne B6,16/02/2020,1,6,1.835,1.98
MARS,Zoloft,12/02/2020,1,25,1.749,1.893
MABELLA1,Zovirax,21/01/2020,1,5,1.774,1.897
MSQ,Zovirax,07/02/2020,1,19,1.774,1.897
MSQ,Zovirax,20/01/2020,1,17,1.774,1.897
SQGM,Advil,05/02/2020,1,28,0.497,0.582
MARS,BON CREAM 15G,08/01/2020,1,12,0.793,0.887
SHELL,Amaryl,30/01/2020,1,29,2.007,2.169
HAIL,Zoloft,20/01/2020,1,6,1.749,1.893
MSQ,Miralax,10/01/2020,1,25,1.921,2.087
MARS,AL CREAM 15GM,06/01/2020,1,6,0.913,1.026
NOV 18TH,Risperdal,05/02/2020,1,3,0.975,1.07
W/SALE,Zoloft,20/01/2020,1,6,1.749,1.893
SHELL,A 5 MG TAB,14/02/2020,1,15,1.128,1.218
HAIL,Amaryl,12/01/2020,1,10,2.007,2.169
SQGM,Visine,25/01/2020,1,26,0.663,0.756
MARS,BE PLUS 30G,04/02/2020,1,5,1.802,1.934
MABELLA1,Risperdal,30/01/2020,1,11,0.975,1.07
SQGM,Panadol,25/01/2020,1,7,0.21,0.29
SHELL,BON CREAM 15G,15/02/2020,1,19,0.793,0.887
SHELL,Zoloft,13/01/2020,1,5,1.749,1.893
