Departmant,Item,Tdate,TypeID,Qty,Cost,Rate,DeptID,ItemID
NOV 18TH,Zoloft,07/02/2020,1,7,1.749,1.893,2,12
W/SALE,AM 10 MG TAB,30/01/2020,1,5,1.141,1.267,9,2
MSQ,AL CREAM 15GM,27/01/2020,1,29,0.913,1.026,7,3
HAIL,A 5 MG TAB,26/01/2020,1,29,1.128,1.218,3,1
HAIL,Lisinopril,20/01/2020,1,10,1.107,1.206,3,11
HAIL,A D  25GM. CREAM,24/01/2020,1,16,1.669,1.808,3,8
SQGM,BON CREAM 15G,09/02/2020,1,12,0.793,0.887,5,19
MARS,BON CREAM 15G,01/01/2020,1,9,0.793,0.887,8,19
MARS,BE PLUS 30G,11/01/2020,1,25,1.802,1.934,8,14
NOV 18TH,A 5 MG TAB,04/02/2020,1,5,1.128,1.218,2,1
W/SALE,Visine,12/01/2020,1,8,0.663,0.756,9,5
MSQ,Emend,11/02/2020,1,12,0.342,0.42,7,9
SHELL,Visine,02/02/2020,1,10,0.663,0.756,4,5
HAIL,Magne B6,13/01/2020,1,2,1.835,1.98,3,16
HAIL,Lisinopril,26/01/2020,1,25,1.107,1.206,3,11
MABELLA1,BON CREAM 15G,07/01/2020,1,12,0.793,0.887,1,19
MABELLA1,Panadol,16/01/2020,1,21,0.21,0.29,1,13
MSQ,Visine,15/02/2020,1,11,0.663,0.756,7,5
HAIL,Miralax,19/01/2020,1,5,1.921,2.087,3,4
NOV 18TH,NyQuill,03/02/2020,1,22,1.551,1.688,2,10
NOV 18TH,AL CREAM 15GM,02/01/2020,1,21,0.913,1.026,2,3
SQGM,A 5 MG TAB,02/01/2020,1,29,1.128,1.218,5,1
SHELL,Emend,08/01/2020,1,16,0.342,0.42,4,9
MSQ,Panadol,10/01/2020,1,9,0.21,0.29,7,13
SHELL,Emend,07/01/2020,1,8,0.342,0.42,4,9
SHELL,Amaryl,11/01/2020,1,26,2.007,2.169,4,17
ALKHUWAIR,Zoloft,08/01/2020,1,10,1.749,1.893,6,12
ALKHUWAIR,Amaryl,20/01/2020,1,27,2.007,2.169,6,17
W/SALE,Risperdal,18/01/2020,1,26,0.975,1.07,9,18
ALKHUWAIR,BON CREAM 15G,23/01/2020,1,18,0.793,0.887,6,19
ALKHUWAIR,BE PLUS 30G,03/01/2020,1,6,1.802,1.934,6,14
MSQ,NyQuill,05/01/2020,1,8,1.551,1.688,7,10
MSQ,Magne B6,07/02/2020,1,14,1.835,1.98,7,16
SQGM,BON CREAM 15G,16/01/2020,1,19,0.793,0.887,5,19
NOV 18TH,Amaryl,11/02/2020,1,22,2.007,2.169,2,17
MABELLA1,A D  25GM. CREAM,06/02/2020,1,25,1.669,1.808,1,8
MARS,Sebastian 20GM CREAM,05/02/2020,1,16,1.534,1.638,8,7
SQGM,Zoloft,12/01/2020,1,2,1.749,1.893,5,12
NOV 18TH,Risperdal,08/02/2020,1,2,0.975,1.07,2,18
MARS,Emend,29/01/2020,1,9,0.342,0.42,8,9
MSQ,Zoloft,12/02/2020,1,10,1.749,1.893,7,12
ALKHUWAIR,Lisinopril,21/01/2020,1,7,1.107,1.206,6,11
HAIL,Lisinopril,02/02/2020,1,19,1.107,1.206,3,11
W/SALE,Advil,04/01/2020,1,24,0.497,0.582,9,6
MSQ,Visine,20/01/2020,1,13,0.663,0.756,7,5
HAIL,Visine,12/01/2020,1,18,0.663,0.756,3,5
ALKHUWAIR,A 5 MG TAB,05/02/2020,1,4,1.128,1.218,6,1
SHELL,BON CREAM 15G,09/02/2020,1,3,0.793,0.887,4,19
W/SALE,AM 10 MG TAB,23/01/2020,1,17,1.141,1.267,9,2
NOV 18TH,A 5 MG TAB,20/01/2020,1,17,1.128,1.218,2,1
SHELL,Amaryl,07/02/2020,1,20,2.007,2.169,4,17
NOV 18TH,Zovirax,03/01/2020,2,9,1.774,1.897,2,15
SQGM,Amaryl,28/01/2020,2,11,2.007,2.169,5,17
NOV 18TH,A 5 MG TAB,20/01/2020,2,26,1.128,1.218,2,1
MARS,Sebastian 20GM CREAM,01/02/2020,2,5,1.534,1.638,8,7
MSQ,Magne B6,11/02/2020,2,2,1.835,1.98,7,16
HAIL,Panadol,31/01/2020,2,1,0.21,0.29,3,13
SHELL,Miralax,03/02/2020,2,27,1.921,2.087,4,4
ALKHUWAIR,Risperdal,01/02/2020,2,20,0.975,1.07,6,18
W/SALE,A 5 MG TAB,29/01/2020,2,14,1.128,1.218,9,1
W/SALE,Lisinopril,01/02/2020,2,12,1.107,1.206,9,11
MABELLA1,A D  25GM. CREAM,07/02/2020,2,17,1.669,1.808,1,8
SQGM,Zoloft,06/02/2020,2,4,1.749,1.893,5,12
SHELL,Visine,27/01/2020,2,18,0.663,0.756,4,5
ALKHUWAIR,Miralax,15/01/2020,2,24,1.921,2.087,6,4
NOV 18TH,Amaryl,11/01/2020,2,19,2.007,2.169,2,17
SHELL,Emend,02/02/2020,2,9,0.342,0.42,4,9
MARS,Amaryl,05/01/2020,2,12,2.007,2.169,8,17
NOV 18TH,BON CREAM 15G,19/01/2020,2,27,0.793,0.887,2,19
MARS,Visine,02/02/2020,2,22,0.663,0.756,8,5
HAIL,Amaryl,07/01/2020,2,7,2.007,2.169,3,17
NOV 18TH,AL CREAM 15GM,09/01/2020,2,8,0.913,1.026,2,3
ALKHUWAIR,BON CREAM 15G,11/02/2020,2,3,0.793,0.887,6,19
MSQ,Emend,14/02/2020,2,7,0.342,0.42,7,9
ALKHUWAIR,Amaryl,12/02/2020,2,4,2.007,2.169,6,17
MABELLA1,A 5 MG TAB,11/01/2020,2,12,1.128,1.218,1,1
SQGM,Panadol,15/01/2020,2,7,0.21,0.29,5,13
SQGM,Advil,16/02/2020,2,10,0.497,0.582,5,6
NOV 18TH,Zovirax,15/01/2020,2,26,1.774,1.897,2,15
SHELL,AM 10 MG TAB,16/02/2020,2,7,1.141,1.267,4,2
MSQ,Magne B6,12/02/2020,2,28,1.835,1.98,7,16
NOV 18TH,Miralax,07/02/2020,2,22,1.921,2.087,2,4
MABELLA1,Sebastian 20GM CREAM,18/01/2020,2,2,1.534,1.638,1,7
SHELL,BE PLUS 30G,09/02/2020,2,8,1.802,1.934,4,14
ALKHUWAIR,Magne B6,27/01/2020,2,1,1.835,1.98,6,16
ALKHUWAIR,Sebastian 20GM CREAM,07/02/2020,2,5,1.534,1.638,6,7
MABELLA1,Panadol,05/01/2020,2,22,0.21,0.29,1,13
MSQ,BON CREAM 15G,17/02/2020,2,25,0.793,0.887,7,19
HAIL,A D  25GM. CREAM,08/02/2020,2,29,1.669,1.808,3,8
NOV 18TH,AL CREAM 15GM,12/01/2020,2,27,0.913,1.026,2,3
W/SALE,Panadol,07/01/2020,2,5,0.21,0.29,9,13
ALKHUWAIR,Panadol,09/02/2020,2,12,0.21,0.29,6,13
ALKHUWAIR,Magne B6,31/01/2020,2,26,1.835,1.98,6,16
ALKHUWAIR,Advil,16/01/2020,2,16,0.497,0.582,6,6
MARS,A 5 MG TAB,09/02/2020,2,8,1.128,1.218,8,1
MABELLA1,Zoloft,25/01/2020,2,10,1.749,1.893,1,12
NOV 18TH,Sebastian 20GM CREAM,06/01/2020,2,13,1.534,1.638,2,7
MARS,A 5 MG TAB,07/02/2020,2,17,1.128,1.218,8,1
ALKHUWAIR,Zoloft,05/02/2020,2,24,1.749,1.893,6,12
ALKHUWAIR,Risperdal,21/01/2020,2,9,0.975,1.07,6,18
MSQ,A D  25GM. CREAM,02/02/2020,2,23,1.669,1.808,7,8
MARS,AM 10 MG TAB,17/02/2020,2,16,1.141,1.267,8,2
SQGM,Magne B6,31/01/2020,2,16,1.835,1.98,5,16
ALKHUWAIR,A D  25GM. CREAM,24/01/2020,2,22,1.669,1.808,6,8
SHELL,A D  25GM. CREAM,25/01/2020,2,4,1.669,1.808,4,8
W/SALE,Magne B6,02/01/2020,2,28,1.835,1.98,9,16
MSQ,NyQuill,10/01/2020,2,15,1.551,1.688,7,10
MABELLA1,Miralax,15/02/2020,2,12,1.921,2.087,1,4
HAIL,Emend,12/01/2020,2,13,0.342,0.42,3,9
W/SALE,Zoloft,10/02/2020,2,27,1.749,1.893,9,12
HAIL,Emend,30/01/2020,2,13,0.342,0.42,3,9
MARS,Visine,31/01/2020,2,12,0.663,0.756,8,5
HAIL,Visine,23/01/2020,2,12,0.663,0.756,3,5
NOV 18TH,A 5 MG TAB,11/02/2020,2,20,1.128,1.218,2,1
ALKHUWAIR,Zovirax,02/01/2020,2,1,1.774,1.897,6,15
ALKHUWAIR,Magne B6,19/01/2020,2,23,1.835,1.98,6,16
ALKHUWAIR,A D  25GM. CREAM,14/01/2020,2,17,1.669,1.808,6,8
SHELL,Emend,23/01/2020,2,25,0.342,0.42,4,9
NOV 18TH,AM 10 MG TAB,28/01/2020,2,20,1.141,1.267,2,2
NOV 18TH,Advil,04/02/2020,2,1,0.497,0.582,2,6
NOV 18TH,Sebastian 20GM CREAM,05/01/2020,2,28,1.534,1.638,2,7
SQGM,Miralax,01/02/2020,2,5,1.921,2.087,5,4
MABELLA1,Zoloft,17/01/2020,2,24,1.749,1.893,1,12
MARS,Magne B6,17/02/2020,2,14,1.835,1.98,8,16
MARS,BE PLUS 30G,18/01/2020,2,13,1.802,1.934,8,14
W/SALE,A 5 MG TAB,16/01/2020,2,10,1.128,1.218,9,1
ALKHUWAIR,Zovirax,13/01/2020,2,18,1.774,1.897,6,15
SQGM,Zovirax,16/02/2020,2,19,1.774,1.897,5,15
MABELLA1,Amaryl,02/01/2020,2,23,2.007,2.169,1,17
SQGM,AM 10 MG TAB,30/01/2020,2,10,1.141,1.267,5,2
MSQ,Magne B6,15/02/2020,2,12,1.835,1.98,7,16
W/SALE,Visine,01/02/2020,2,18,0.663,0.756,9,5
SHELL,Sebastian 20GM CREAM,08/01/2020,2,10,1.534,1.638,4,7
MARS,Magne B6,15/02/2020,2,18,1.835,1.98,8,16
W/SALE,Panadol,02/02/2020,2,17,0.21,0.29,9,13
MARS,Visine,13/02/2020,2,2,0.663,0.756,8,5
HAIL,A D  25GM. CREAM,05/01/2020,2,29,1.669,1.808,3,8
NOV 18TH,Advil,19/01/2020,2,13,0.497,0.582,2,6
ALKHUWAIR,NyQuill,12/01/2020,2,19,1.551,1.688,6,10
HAIL,Visine,05/01/2020,2,19,0.663,0.756,3,5
MSQ,Amaryl,25/01/2020,2,27,2.007,2.169,7,17
MARS,BON CREAM 15G,17/02/2020,2,29,0.793,0.887,8,19
ALKHUWAIR,Zoloft,02/02/2020,2,5,1.749,1.893,6,12
NOV 18TH,A 5 MG TAB,06/02/2020,2,2,1.128,1.218,2,1
NOV 18TH,Risperdal,15/02/2020,2,14,0.975,1.07,2,18
SQGM,AL CREAM 15GM,31/01/2020,2,3,0.913,1.026,5,3
SQGM,Panadol,02/02/2020,2,9,0.21,0.29,5,13
HAIL,Visine,11/01/2020,2,13,0.663,0.756,3,5
SQGM,Zoloft,24/01/2020,2,8,1.749,1.893,5,12
MSQ,Zovirax,04/01/2020,2,27,1.774,1.897,7,15
MABELLA1,Zovirax,30/01/2020,2,10,1.774,1.897,1,15
NOV 18TH,BON CREAM 15G,30/01/2020,1,7,0.793,0.887,2,19
HAIL,AL CREAM 15GM,01/02/2020,1,23,0.913,1.026,3,3
ALKHUWAIR,Panadol,10/02/2020,1,24,0.21,0.29,6,13
HAIL,Miralax,08/02/2020,1,12,1.921,2.087,3,4
W/SALE,Amaryl,14/02/2020,1,28,2.007,2.169,9,17
ALKHUWAIR,Zoloft,24/01/2020,1,8,1.749,1.893,6,12
W/SALE,BON CREAM 15G,11/01/2020,1,14,0.793,0.887,9,19
SQGM,AL CREAM 15GM,03/01/2020,1,14,0.913,1.026,5,3
MSQ,Advil,13/02/2020,1,3,0.497,0.582,7,6
MSQ,Lisinopril,16/02/2020,1,9,1.107,1.206,7,11
ALKHUWAIR,Miralax,12/01/2020,1,14,1.921,2.087,6,4
SHELL,AM 10 MG TAB,11/02/2020,1,1,1.141,1.267,4,2
MABELLA1,Panadol,14/02/2020,1,7,0.21,0.29,1,13
SQGM,Miralax,22/01/2020,1,8,1.921,2.087,5,4
ALKHUWAIR,Visine,13/01/2020,1,25,0.663,0.756,6,5
MABELLA1,Amaryl,13/01/2020,1,13,2.007,2.169,1,17
SHELL,A D  25GM. CREAM,12/01/2020,1,6,1.669,1.808,4,8
MARS,BE PLUS 30G,10/01/2020,1,11,1.802,1.934,8,14
NOV 18TH,BON CREAM 15G,05/02/2020,1,7,0.793,0.887,2,19
HAIL,BON CREAM 15G,20/01/2020,1,5,0.793,0.887,3,19
MSQ,AL CREAM 15GM,04/01/2020,1,9,0.913,1.026,7,3
W/SALE,AM 10 MG TAB,15/01/2020,1,1,1.141,1.267,9,2
NOV 18TH,Sebastian 20GM CREAM,24/01/2020,1,21,1.534,1.638,2,7
MARS,Magne B6,12/01/2020,1,3,1.835,1.98,8,16
HAIL,Lisinopril,16/01/2020,1,10,1.107,1.206,3,11
NOV 18TH,AM 10 MG TAB,13/01/2020,1,20,1.141,1.267,2,2
MARS,Zovirax,05/02/2020,1,26,1.774,1.897,8,15
MSQ,Visine,25/01/2020,1,7,0.663,0.756,7,5
MSQ,Zoloft,15/02/2020,1,9,1.749,1.893,7,12
HAIL,AL CREAM 15GM,05/01/2020,1,5,0.913,1.026,3,3
MSQ,AM 10 MG TAB,17/01/2020,1,12,1.141,1.267,7,2
HAIL,A D  25GM. CREAM,22/01/2020,1,8,1.669,1.808,3,8
NOV 18TH,BON CREAM 15G,08/02/2020,1,28,0.793,0.887,2,19
MSQ,A D  25GM. CREAM,01/01/2020,1,22,1.669,1.808,7,8
SHELL,NyQuill,07/01/2020,1,17,1.551,1.688,4,10
W/SALE,Miralax,07/02/2020,1,13,1.921,2.087,9,4
MABELLA1,Lisinopril,07/02/2020,1,9,1.107,1.206,1,11
MABELLA1,Lisinopril,28/01/2020,1,23,1.107,1.206,1,11
SQGM,Miralax,10/01/2020,1,21,1.921,2.087,5,4
ALKHUWAIR,Lisinopril,15/02/2020,1,21,1.107,1.206,6,11
SHELL,Miralax,28/01/2020,1,15,1.921,2.087,4,4
ALKHUWAIR,Visine,03/02/2020,1,11,0.663,0.756,6,5
MABELLA1,A 5 MG TAB,14/01/2020,1,2,1.128,1.218,1,1
MABELLA1,Zoloft,22/01/2020,1,15,1.749,1.893,1,12
SQGM,A 5 MG TAB,27/01/2020,1,16,1.128,1.218,5,1
W/SALE,Emend,13/01/2020,1,11,0.342,0.42,9,9
MSQ,Magne B6,20/01/2020,1,16,1.835,1.98,7,16
MARS,A 5 MG TAB,11/01/2020,1,12,1.128,1.218,8,1
MARS,Zovirax,12/02/2020,1,2,1.774,1.897,8,15
NOV 18TH,Visine,05/02/2020,1,19,0.663,0.756,2,5
ALKHUWAIR,Advil,07/02/2020,1,15,0.497,0.582,6,6
ALKHUWAIR,Visine,11/01/2020,1,17,0.663,0.756,6,5
ALKHUWAIR,AM 10 MG TAB,11/02/2020,1,4,1.141,1.267,6,2
SQGM,AM 10 MG TAB,09/02/2020,1,20,1.141,1.267,5,2
MARS,Visine,27/01/2020,1,10,0.663,0.756,8,5
ALKHUWAIR,A 5 MG TAB,11/02/2020,1,2,1.128,1.218,6,1
MSQ,Zovirax,13/01/2020,1,6,1.774,1.897,7,15
MABELLA1,Visine,08/02/2020,1,5,0.663,0.756,1,5
ALKHUWAIR,AL CREAM 15GM,27/01/2020,1,21,0.913,1.026,6,3
ALKHUWAIR,Zovirax,14/01/2020,1,27,1.774,1.897,6,15
MARS,Sebastian 20GM CREAM,21/01/2020,1,14,1.534,1.638,8,7
W/SALE,A 5 MG TAB,01/01/2020,1,27,1.128,1.218,9,1
MARS,AM 10 MG TAB,05/01/2020,1,1,1.141,1.267,8,2
SHELL,BE PLUS 30G,08/02/2020,1,3,1.802,1.934,4,14
MARS,Emend,28/01/2020,1,27,0.342,0.42,8,9
W/SALE,Zoloft,04/02/2020,1,1,1.749,1.893,9,12
NOV 18TH,Sebastian 20GM CREAM,30/01/2020,1,3,1.534,1.638,2,7
SQGM,A D  25GM. CREAM,09/02/2020,1,19,1.669,1.808,5,8
MABELLA1,Lisinopril,11/02/2020,1,14,1.107,1.206,1,11
SQGM,Advil,14/01/2020,1,24,0.497,0.582,5,6
HAIL,Advil,18/01/2020,1,10,0.497,0.582,3,6
MARS,A D  25GM. CREAM,26/01/2020,1,27,1.669,1.808,8,8
HAIL,NyQuill,27/01/2020,1,15,1.551,1.688,3,10
SHELL,Emend,11/02/2020,1,20,0.342,0.42,4,9
MABELLA1,Miralax,17/01/2020,1,13,1.921,2.087,1,4
MARS,Advil,09/01/2020,1,20,0.497,0.582,8,6
SHELL,Lisinopril,05/02/2020,1,7,1.107,1.206,4,11
SHELL,Advil,06/01/2020,1,2,0.497,0.582,4,6
NOV 18TH,Panadol,21/01/2020,1,4,0.21,0.29,2,13
SHELL,Advil,12/01/2020,1,11,0.497,0.582,4,6
SHELL,A 5 MG TAB,13/02/2020,1,27,1.128,1.218,4,1
HAIL,AL CREAM 15GM,09/02/2020,1,5,0.913,1.026,3,3
W/SALE,BON CREAM 15G,03/02/2020,1,9,0.793,0.887,9,19
ALKHUWAIR,Magne B6,07/02/2020,1,11,1.835,1.98,6,16
SHELL,NyQuill,26/01/2020,1,16,1.551,1.688,4,10
MABELLA1,Miralax,11/01/2020,1,1,1.921,2.087,1,4
NOV 18TH,A 5 MG TAB,07/01/2020,1,8,1.128,1.218,2,1
MSQ,Amaryl,06/01/2020,1,22,2.007,2.169,7,17
MABELLA1,Miralax,01/02/2020,1,20,1.921,2.087,1,4
NOV 18TH,Zoloft,05/02/2020,1,14,1.749,1.893,2,12
HAIL,Miralax,19/01/2020,1,8,1.921,2.087,3,4
ALKHUWAIR,Risperdal,12/01/2020,1,10,0.975,1.07,6,18
MABELLA1,Advil,10/01/2020,1,9,0.497,0.582,1,6
NOV 18TH,Visine,12/02/2020,1,5,0.663,0.756,2,5
MABELLA1,A 5 MG TAB,10/02/2020,1,25,1.128,1.218,1,1
SHELL,Zoloft,01/02/2020,1,20,1.749,1.893,4,12
MABELLA1,Emend,31/01/2020,1,12,0.342,0.42,1,9
ALKHUWAIR,AM 10 MG TAB,30/01/2020,1,18,1.141,1.267,6,2
MABELLA1,NyQuill,11/02/2020,1,19,1.551,1.688,1,10
W/SALE,A 5 MG TAB,28/01/2020,1,18,1.128,1.218,9,1
SQGM,Zovirax,17/02/2020,2,15,1.774,1.897,5,15
SQGM,Amaryl,05/02/2020,2,9,2.007,2.169,5,17
SQGM,Emend,25/01/2020,2,21,0.342,0.42,5,9
HAIL,Panadol,11/01/2020,2,14,0.21,0.29,3,13
SQGM,Lisinopril,07/02/2020,2,20,1.107,1.206,5,11
HAIL,Emend,17/01/2020,2,21,0.342,0.42,3,9
SHELL,Emend,03/01/2020,2,3,0.342,0.42,4,9
NOV 18TH,AM 10 MG TAB,16/02/2020,2,3,1.141,1.267,2,2
SQGM,A D  25GM. CREAM,24/01/2020,2,8,1.669,1.808,5,8
NOV 18TH,AL CREAM 15GM,11/02/2020,2,26,0.913,1.026,2,3
ALKHUWAIR,Panadol,11/02/2020,2,6,0.21,0.29,6,13
MABELLA1,Magne B6,01/02/2020,2,19,1.835,1.98,1,16
SQGM,AL CREAM 15GM,04/01/2020,2,16,0.913,1.026,5,3
NOV 18TH,A D  25GM. CREAM,23/01/2020,2,29,1.669,1.808,2,8
MABELLA1,AM 10 MG TAB,20/01/2020,2,20,1.141,1.267,1,2
ALKHUWAIR,AM 10 MG TAB,07/01/2020,2,3,1.141,1.267,6,2
SQGM,Miralax,02/01/2020,2,19,1.921,2.087,5,4
SHELL,Lisinopril,14/01/2020,2,19,1.107,1.206,4,11
MSQ,A 5 MG TAB,14/01/2020,2,20,1.128,1.218,7,1
SQGM,Sebastian 20GM CREAM,04/02/2020,2,11,1.534,1.638,5,7
HAIL,Zovirax,09/02/2020,2,12,1.774,1.897,3,15
NOV 18TH,Magne B6,29/01/2020,2,29,1.835,1.98,2,16
SHELL,NyQuill,17/02/2020,2,27,1.551,1.688,4,10
W/SALE,A D  25GM. CREAM,06/02/2020,2,8,1.669,1.808,9,8
MABELLA1,Miralax,25/01/2020,2,5,1.921,2.087,1,4
SHELL,Zovirax,16/01/2020,2,11,1.774,1.897,4,15
SHELL,Panadol,03/02/2020,2,18,0.21,0.29,4,13
MARS,Miralax,04/01/2020,2,10,1.921,2.087,8,4
MSQ,Visine,03/01/2020,2,23,0.663,0.756,7,5
MSQ,Emend,06/01/2020,2,22,0.342,0.42,7,9
MARS,BON CREAM 15G,15/01/2020,2,9,0.793,0.887,8,19
MSQ,Advil,07/01/2020,2,22,0.497,0.582,7,6
ALKHUWAIR,AM 10 MG TAB,31/01/2020,2,21,1.141,1.267,6,2
SQGM,Panadol,31/01/2020,2,17,0.21,0.29,5,13
HAIL,Zovirax,29/01/2020,2,18,1.774,1.897,3,15
NOV 18TH,AM 10 MG TAB,01/02/2020,2,21,1.141,1.267,2,2
MABELLA1,Visine,07/02/2020,2,19,0.663,0.756,1,5
MARS,Advil,15/01/2020,2,18,0.497,0.582,8,6
ALKHUWAIR,Emend,07/02/2020,2,3,0.342,0.42,6,9
NOV 18TH,Amaryl,25/01/2020,2,25,2.007,2.169,2,17
MARS,Advil,31/01/2020,2,5,0.497,0.582,8,6
MARS,A 5 MG TAB,23/01/2020,2,9,1.128,1.218,8,1
MABELLA1,Advil,06/02/2020,2,5,0.497,0.582,1,6
SHELL,AM 10 MG TAB,17/02/2020,2,26,1.141,1.267,4,2
W/SALE,BON CREAM 15G,02/02/2020,2,23,0.793,0.887,9,19
W/SALE,Panadol,02/01/2020,2,14,0.21,0.29,9,13
HAIL,Emend,14/01/2020,2,15,0.342,0.42,3,9
MARS,A D  25GM. CREAM,09/02/2020,2,2,1.669,1.808,8,8
W/SALE,Risperdal,28/01/2020,2,12,0.975,1.07,9,18
SQGM,Advil,16/02/2020,2,9,0.497,0.582,5,6
MABELLA1,AL CREAM 15GM,10/02/2020,1,20,0.913,1.026,1,3
MABELLA1,Sebastian 20GM CREAM,30/01/2020,1,7,1.534,1.638,1,7
HAIL,BON CREAM 15G,10/01/2020,1,23,0.793,0.887,3,19
MSQ,AL CREAM 15GM,09/02/2020,1,23,0.913,1.026,7,3
ALKHUWAIR,Advil,12/02/2020,1,14,0.497,0.582,6,6
MARS,Zoloft,17/01/2020,1,13,1.749,1.893,8,12
HAIL,Risperdal,17/02/2020,1,24,0.975,1.07,3,18
W/SALE,BON CREAM 15G,02/01/2020,1,23,0.793,0.887,9,19
MARS,Miralax,08/02/2020,1,19,1.921,2.087,8,4
HAIL,Zoloft,05/01/2020,1,7,1.749,1.893,3,12
SHELL,Zoloft,16/02/2020,1,21,1.749,1.893,4,12
MSQ,BON CREAM 15G,06/01/2020,1,24,0.793,0.887,7,19
ALKHUWAIR,AL CREAM 15GM,07/02/2020,1,11,0.913,1.026,6,3
SQGM,Emend,21/01/2020,1,20,0.342,0.42,5,9
ALKHUWAIR,Emend,19/01/2020,1,10,0.342,0.42,6,9
NOV 18TH,Zoloft,25/01/2020,1,18,1.749,1.893,2,12
SQGM,A D  25GM. CREAM,29/01/2020,1,1,1.669,1.808,5,8
NOV 18TH,Zovirax,07/02/2020,1,14,1.774,1.897,2,15
SQGM,Amaryl,29/01/2020,1,10,2.007,2.169,5,17
MARS,Risperdal,10/02/2020,1,2,0.975,1.07,8,18
NOV 18TH,Advil,13/02/2020,1,28,0.497,0.582,2,6
W/SALE,A D  25GM. CREAM,30/01/2020,1,7,1.669,1.808,9,8
MABELLA1,Magne B6,11/01/2020,1,9,1.835,1.98,1,16
MABELLA1,NyQuill,07/01/2020,1,6,1.551,1.688,1,10
HAIL,Lisinopril,04/02/2020,1,10,1.107,1.206,3,11
SQGM,Risperdal,22/01/2020,1,23,0.975,1.07,5,18
HAIL,Zoloft,13/01/2020,1,4,1.749,1.893,3,12
SQGM,Miralax,14/01/2020,1,29,1.921,2.087,5,4
HAIL,Zoloft,25/01/2020,1,11,1.749,1.893,3,12
W/SALE,Miralax,08/02/2020,1,5,1.921,2.087,9,4
SQGM,Visine,15/01/2020,1,11,0.663,0.756,5,5
MARS,BE PLUS 30G,28/01/2020,1,27,1.802,1.934,8,14
MSQ,Advil,18/01/2020,1,27,0.497,0.582,7,6
